pattern,method,avg_mae
continuous,Avgvalue,0.06666666666666667
sparse,Avgvalue,0.019999999999999997
period,Avgvalue,0.075
bursty,Avgvalue,0.07428571428571429
continuous,Maxvalue,0.07333333333333333
sparse,Maxvalue,0.038
period,Maxvalue,0.07428571428571429
bursty,Maxvalue,0.11142857142857145
continuous,NBEATS,0.06666666666666667
sparse,NBEATS,0.242
period,NBEATS,0.3214285714285715
bursty,NBEATS,0.48857142857142855
continuous,Movingavg,0.11666666666666665
sparse,Movingavg,0.21800000000000003
period,Movingavg,0.2864285714285714
bursty,Movingavg,0.6342857142857143
continuous,Movingmax,0.13000000000000003
sparse,Movingmax,0.812
period,Movingmax,0.7957142857142856
bursty,Movingmax,1.042857142857143
continuous,NHITS,0.06333333333333334
sparse,NHITS,0.21000000000000002
period,NHITS,0.30785714285714283
bursty,NHITS,0.4857142857142857
continuous,PatchTST,0.09333333333333334
sparse,PatchTST,0.198
period,PatchTST,0.26928571428571424
bursty,PatchTST,0.4414285714285714
continuous,TimesNet,0.24333333333333332
sparse,TimesNet,0.156
period,TimesNet,0.38142857142857134
bursty,TimesNet,0.4985714285714286
